"REF_DATE","GEO","DGUID","Trade","Domain","Trading partner","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690280","1.1.29.1","1131.0","","","","1"
"2019","Canada","2016A000011124","Imports from","Music publishing","All trading partners","Canadian dollars","47","millions","6","v122690321","1.1.30.1","292.1","","","","1"
"2020","Canada","2016A000011124","Imports from","Music publishing","All trading partners","Canadian dollars","47","millions","6","v122690321","1.1.30.1","278.5","","","","1"
"2021","Canada","2016A000011124","Imports from","Music publishing","All trading partners","Canadian dollars","47","millions","6","v122690321","1.1.30.1","294.0","","","","1"
"2022","Canada","2016A000011124","Imports from","Music publishing","All trading partners","Canadian dollars","47","millions","6","v122690321","1.1.30.1","302.4","","","","1"
"2023","Canada","2016A000011124","Imports from","Music publishing","All trading partners","Canadian dollars","47","millions","6","v122690321","1.1.30.1","296.4","","","","1"
"2019","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690362","1.1.31.1","718.5","","","","1"
"2020","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690362","1.1.31.1","758.4","","","","1"
"2021","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690362","1.1.31.1","901.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690362","1.1.31.1","818.0","","","","1"
"2023","Canada","2016A000011124","Imports from","Sound recording","All trading partners","Canadian dollars","47","millions","6","v122690362","1.1.31.1","834.6","","","","1"
"2019","Canada","2016A000011124","Imports from","Education and training (culture)","All trading partners","Canadian dollars","47","millions","6","v122690403","1.1.32.1","165.2","","","","1"
"2020","Canada","2016A000011124","Imports from","Education and training (culture)","All trading partners","Canadian dollars","47","millions","6","v122690403","1.1.32.1","174.8","","","","1"
"2021","Canada","2016A000011124","Imports from","Education and training (culture)","All trading partners","Canadian dollars","47","millions","6","v122690403","1.1.32.1","190.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Education and training (culture)","All trading partners","Canadian dollars","47","millions","6","v122690403","1.1.32.1","175.7","","","","1"
"2023","Canada","2016A000011124","Imports from","Education and training (culture)","All trading partners","Canadian dollars","47","millions","6","v122690403","1.1.32.1","174.8","","","","1"
"2019","Canada","2016A000011124","Imports from","Governance, funding and professional support (culture)","All trading partners","Canadian dollars","47","millions","6","v122690444","1.1.33.1","467.1","","","","1"
"2020","Canada","2016A000011124","Imports from","Governance, funding and professional support (culture)","All trading partners","Canadian dollars","47","millions","6","v122690444","1.1.33.1","353.9","","","","1"
"2021","Canada","2016A000011124","Imports from","Governance, funding and professional support (culture)","All trading partners","Canadian dollars","47","millions","6","v122690444","1.1.33.1","340.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Governance, funding and professional support (culture)","All trading partners","Canadian dollars","47","millions","6","v122690444","1.1.33.1","504.0","","","","1"
"2023","Canada","2016A000011124","Imports from","Governance, funding and professional support (culture)","All trading partners","Canadian dollars","47","millions","6","v122690444","1.1.33.1","571.6","","","","1"
"2019","Canada","2016A000011124","Imports from","Multi domain","All trading partners","Canadian dollars","47","millions","6","v122690485","1.1.34.1","1628.5","","","","1"
"2020","Canada","2016A000011124","Imports from","Multi domain","All trading partners","Canadian dollars","47","millions","6","v122690485","1.1.34.1","2730.8","","","","1"
"2021","Canada","2016A000011124","Imports from","Multi domain","All trading partners","Canadian dollars","47","millions","6","v122690485","1.1.34.1","3321.3","","","","1"
"2022","Canada","2016A000011124","Imports from","Multi domain","All trading partners","Canadian dollars","47","millions","6","v122690485","1.1.34.1","3435.7","","","","1"
"2023","Canada","2016A000011124","Imports from","Multi domain","All trading partners","Canadian dollars","47","millions","6","v122690485","1.1.34.1","3509.7","","","","1"
"2019","Canada","2016A000011124","Imports from","Sport total","All trading partners","Canadian dollars","47","millions","6","v122690526","1.1.35.1","2522.2","","","","1"
"2020","Canada","2016A000011124","Imports from","Sport total","All trading partners","Canadian dollars","47","millions","6","v122690526","1.1.35.1","1043.8","","","","1"
"2021","Canada","2016A000011124","Imports from","Sport total","All trading partners","Canadian dollars","47","millions","6","v122690526","1.1.35.1","835.0","","","","1"
"2022","Canada","2016A000011124","Imports from","Sport total","All trading partners","Canadian dollars","47","millions","6","v122690526","1.1.35.1","1973.9","","","","1"
"2023","Canada","2016A000011124","Imports from","Sport total","All trading partners","Canadian dollars","47","millions","6","v122690526","1.1.35.1","2625.0","","","","1"
"2019","Canada","2016A000011124","Imports from","Organized sport","All trading partners","Canadian dollars","47","millions","6","v122690567","1.1.36.1","1017.3","","","","1"
"2020","Canada","2016A000011124","Imports from","Organized sport","All trading partners","Canadian dollars","47","millions","6","v122690567","1.1.36.1","463.0","","","","1"
"2021","Canada","2016A000011124","Imports from","Organized sport","All trading partners","Canadian dollars","47","millions","6","v122690567","1.1.36.1","468.6","","","","1"
"2022","Canada","2016A000011124","Imports from","Organized sport","All trading partners","Canadian dollars","47","millions","6","v122690567","1.1.36.1","878.6","","","","1"
"2023","Canada","2016A000011124","Imports from","Organized sport","All trading partners","Canadian dollars","47","millions","6","v122690567","1.1.36.1","1098.4","","","","1"
"2019","Canada","2016A000011124","Imports from","Informal sport","All trading partners","Canadian dollars","47","millions","6","v122690608","1.1.37.1","0.1","","","","1"
"2020","Canada","2016A000011124","Imports from","Informal sport","All trading partners","Canadian dollars","47","millions","6","v122690608","1.1.37.1","0.1","","","","1"
"2021","Canada","2016A000011124","Imports from","Informal sport","All trading partners","Canadian dollars","47","millions","6","v122690608","1.1.37.1","0.1","","","","1"
"2022","Canada","2016A000011124","Imports from","Informal sport","All trading partners","Canadian dollars","47","millions","6","v122690608","1.1.37.1","0.1","","","","1"
"2023","Canada","2016A000011124","Imports from","Informal sport","All trading partners","Canadian dollars","47","millions","6","v122690608","1.1.37.1","0.1","","","","1"
"2019","Canada","2016A000011124","Imports from","Education and training (sport)","All trading partners","Canadian dollars","47","millions","6","v122690649","1.1.38.1","113.1","","","","1"
"2020","Canada","2016A000011124","Imports from","Education and training (sport)","All trading partners","Canadian dollars","47","millions","6","v122690649","1.1.38.1","121.7","","","","1"
"2021","Canada","2016A000011124","Imports from","Education and training (sport)","All trading partners","Canadian dollars","47","millions","6","v122690649","1.1.38.1","133.7","","","","1"
"2022","Canada","2016A000011124","Imports from","Education and training (sport)","All trading partners","Canadian dollars","47","millions","6","v122690649","1.1.38.1","132.0","","","","1"
