title,canonical_title,category,gender,wiki,trends,youtube,spotify,prior_total_tickets,prior_run_count,ticket_median_prior,years_since_last_run,is_remount_recent,is_remount_medium,run_count_prior,month_of_opening,holiday_flag,target_ticket_median
Divertimento No. 15,divertimento no 15,contemporary,co,13,38,55,85,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Duende,duende,contemporary,co,71,2,55,74,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Dybbuk,dybbuk,adult_literary_drama,co,71,12,52,63,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Elite Syncopations,elite syncopations,contemporary,co,42,2,58,27,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Emergence,emergence,contemporary,co,71,9,62,75,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Enemy in the Figure,enemy in the figure,contemporary,co,80,38,55,67,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Enigma Variations,enigma variations,adult_literary_drama,co,67,34,62,53,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Episodes,episodes,contemporary,co,40,70,55,49,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Etudes (Lander),etudes lander,contemporary,co,40,2,60,38,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Façade,facade,classic_comedy,co,70,2,58,46,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Falling Angels,falling angels,contemporary,female,57,28,60,64,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Fancy Free,fancy free,contemporary,male,67,2,72,70,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Five Tangos,five tangos,contemporary,co,36,2,50,11,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Flight Pattern,flight pattern,contemporary,co,35,3,58,53,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Flower Festival in Genzano,flower festival in genzano,classic_romance,co,38,52,62,50,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Forgotten Land (Kylián),forgotten land kylian,contemporary,co,48,46,55,84,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Four Seasons (Kudelka),four seasons kudelka,contemporary,co,37,44,58,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Glass Pieces,glass pieces,contemporary,co,39,3,58,56,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Gloria (MacMillan),gloria macmillan,contemporary,co,32,36,55,57,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Goldberg Variations,goldberg variations,contemporary,co,68,2,70,63,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Gone (Rhoden),gone rhoden,contemporary,co,38,26,48,50,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Grand Pas de Deux Esmeralda,grand pas de deux esmeralda,classic_romance,female,55,54,65,41,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Grosse Fuge,grosse fuge,contemporary,co,57,22,52,52,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Harlequinade,harlequinade,classic_comedy,co,62,24,62,53,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Herman Schmerman,herman schmerman,contemporary,co,54,2,45,0,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Illuminations,illuminations,contemporary,co,30,2,52,47,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
In G Major,in g major,contemporary,co,69,4,55,78,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
In the Night,in the night,contemporary,co,24,76,65,100,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
In This Vessel,in this vessel,contemporary,co,52,2,45,58,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Initials R.B.M.E.,initials rbme,contemporary,co,22,34,50,63,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Interplay,interplay,contemporary,co,69,4,58,68,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
Jardí Tancat,jardi tancat,contemporary,co,56,24,52,24,0.0,0.0,0.0,10.0,0,0,0,,0,0.0
