show_title,category,base_score,score_with_all_weights,score_without_live_analytics,score_without_economics,score_without_stone_olafson,delta_live_analytics,delta_economics,delta_stone_olafson,aud__engagement_factor,consumer_confidence_prairies,energy_index,inflation_adjustment_factor
Lady Chatterley's Lover,adult_literary_drama,68.55,78.87033027720001,73.02808359,77.73570000000001,75.114600264,5.842246687200017,1.134630277200003,3.755730013200008,1.08,50.0,1036.49,1.0
Lady Macbeth,adult_literary_drama,52.05,59.8862245212,55.45020789,59.0247,57.034499544,4.436016631199998,0.8615245211999962,2.8517249772,1.08,50.0,1036.49,1.0
Le Corsaire,romantic_tragedy,49.1,56.125944044940006,52.30749678000001,55.318515000000005,53.4532800428,3.818447264939998,0.807429044940001,2.672664002140003,1.073,50.0,1036.49,1.0
Les Sylphides,romantic_tragedy,42.1,48.12428196114001,44.850216180000004,47.431965,45.8326494868,3.2740657811400027,0.6923169611400084,2.2916324743400054,1.073,50.0,1036.49,1.0
Love in the Time of Cholera,adult_literary_drama,71.35000000000001,82.09187549640002,76.01099583000001,80.91090000000003,78.18273856800002,6.080879666400008,1.180975496399995,3.9091369284000024,1.08,50.0,1036.49,1.0
Manon,romantic_tragedy,53.35,60.984096024390006,56.835131430000004,60.1067775,58.0800914518,4.1489645943900015,0.8773185243900059,2.9040045725900043,1.073,50.0,1036.49,1.0
Mayerling,adult_literary_drama,46.7,53.73077204880001,49.75071486,52.95780000000001,51.17216385600001,3.9800571888000107,0.7729720487999998,2.5586081928000013,1.08,50.0,1036.49,1.0
Midsummer Night’s Dream,classic_romance,65.95,75.66812072127,70.25823651000002,74.57955749999999,72.0648768774,5.409884211269983,1.0885632212700074,3.603243843870004,1.077,50.0,1036.49,1.0
Momix,touring_contemporary_company,29.85,33.1921810972721,31.581523403684205,32.9409675,31.611601045021047,1.6106576935878927,0.25121359727209835,1.580580052251051,1.051,50.41,1036.49,0.9685672514619882
Movin' Out,pop_ip,61.8,70.90659379188,65.83713444,69.88653000000001,67.5300893256,5.069459351879999,1.0200637918799913,3.3765044662799966,1.077,50.0,1036.49,1.0
Nijinsky,contemporary,43.599999999999994,58.46080491383999,55.62398184,48.114779999999996,55.67695706079999,2.8368230738399944,10.346024913839997,2.783847853040001,1.051,50.41,1375.17,1.2083333333333333
Once Upon a Time,family_classic,55.1,54.89122442496001,51.15677952000001,62.078415,52.277356595200004,3.73444490496,-7.187190575039992,2.6138678297600038,1.073,50.41,704.41,1.0
Onegin,romantic_tragedy,56.099999999999994,64.12760612874,59.76477738,63.20506499999999,61.07391059879999,4.36282874874,0.9225411287400078,3.0536955299400077,1.073,50.0,1036.49,1.0
Opera - the Ballet,contemporary_mixed_bill,39.8,44.562365148839994,42.39996684,43.92128999999999,42.440347760799995,2.1623983088399967,0.6410751488400024,2.1220173880399997,1.051,50.0,1036.49,1.0
Othello,adult_literary_drama,55.35000000000001,63.68304567240002,58.96578303000002,62.766900000000014,60.65051968800002,4.7172626424000015,0.9161456724000061,3.032525984400003,1.08,50.0,1036.49,1.0
Our Canada - Gordon Lightfoot,pop_ip,72.75,78.91210769516051,73.27029498157896,82.26933749999999,75.15438828110526,5.641812713581558,-3.357229804839477,3.757719414055259,1.077,50.41,926.37,0.9539473684210524
Paquita,classic_romance,36.4,41.76375427224,38.77785912,41.16294,39.7750040688,2.9858951522399977,0.600814272240001,1.9887502034399986,1.077,50.0,1036.49,1.0
Peter Pan,family_classic,60.45,69.10006756653,64.39894461000002,68.1059925,65.8095881586,4.701122956529986,0.9940750665300015,3.2904794079300075,1.073,50.0,1036.49,1.0
Phi – David Bowie,pop_ip,60.95,60.945411098880015,56.58812544000001,68.9253075,58.04324866560001,4.357285658880002,-7.979896401119987,2.9021624332800044,1.077,50.41,704.41,1.0
Pinocchio,family_classic,56.3,64.35622504542,59.97784254,63.430395,61.2916429004,4.3783825054200065,0.9258300454200068,3.0645821450200046,1.073,50.0,1036.49,1.0
Polyphonia,contemporary_mixed_bill,35.7,39.971769744060005,38.032131060000005,39.396735,38.0683521372,1.9396386840600002,0.5750347440600052,1.9034176068600033,1.051,50.0,1036.49,1.0
Pulcinella,classic_comedy,48.800000000000004,55.990967266080006,51.987899040000016,55.185480000000005,53.324730729600006,4.003068226079989,0.8054872660800001,2.6662365364799996,1.077,50.0,1036.49,1.0
Push Comes to Shove,contemporary,39.1,43.778604957780004,41.65423878000001,43.148804999999996,41.6939094836,2.124366177779997,0.6297999577800084,2.084695474180002,1.051,50.0,1036.49,1.0
Raymonda,classic_romance,39.1,44.86161516606001,41.65423878000001,44.216235000000005,42.72534777720001,3.2073763860600053,0.6453801660600078,2.1362673888600057,1.077,50.0,1036.49,1.0
Rite of Spring,contemporary,55.550000000000004,62.19696944769001,59.17884819000001,61.30220250000001,59.23520899780001,3.018121257689998,0.8947669476900018,2.9617604498900008,1.051,50.0,1036.49,1.0
Rodeo,pop_ip,42.900000000000006,49.22156753514001,45.702476820000015,48.51346500000001,46.87768336680001,3.5190907151399955,0.7081025351400001,2.3438841683400042,1.077,50.0,1036.49,1.0
Romeo and Juliet,romantic_tragedy,68.9,78.75921679626,73.40094762000001,77.626185,75.0087779012,5.358269176259995,1.1330317962599992,3.7504388950600003,1.073,50.0,1036.49,1.0
Serenade,contemporary,40.2,45.010228115160004,42.82609716000001,44.36271,42.8668839192,2.1841309551599934,0.647518115160004,2.1433441959600046,1.051,50.0,1036.49,1.0
Shaping Sound,touring_contemporary_company,40.75,45.233714890902625,43.03873919210527,44.9696625,43.07972846752631,2.194975698797357,0.2640523909026271,2.153986423376317,1.051,50.41,1036.49,0.962719298245614
Sinatra Suite,pop_ip,54.949999999999996,63.04720596867,58.53965271,62.140207499999995,60.044958065399996,4.507553258670001,0.9069984686700039,3.0022479032700033,1.077,50.0,1036.49,1.0
Slava's Snow Show,family_classic,52.50000000000001,60.0124656285,55.92960450000002,59.149125000000005,57.15472917,4.082861128499985,0.8633406284999978,2.8577364585,1.073,50.0,1036.49,1.0
Sleeping Beauty,classic_romance,61.85,84.41674343485894,78.38137737684211,69.9430725,80.39689850938947,6.035366058016834,14.473670934858944,4.019844925469471,1.077,50.41,1391.67,1.1593567251461987
Swan Lake,romantic_tragedy,60.05,77.09610477707157,71.8509830168421,67.6553325,73.42486169244911,5.24512176022948,9.440772277071574,3.6712430846224606,1.073,50.41,1303.78,1.0519005847953216
Taj Express,touring_contemporary_company,37.1,41.11399631394631,39.11893084105263,40.941705,39.15618696566315,1.9950654728936783,0.17229131394631025,1.9578093482831562,1.051,50.41,1007.66,0.9956140350877192
Tango Fire,touring_contemporary_company,53.4,56.563553967612634,53.818795402105266,58.92957,53.870051397726314,2.744758565507368,-2.366016032387364,2.69350256988632,1.051,50.41,926.37,0.956140350877193
The Catherine Wheel,contemporary,35.7,39.971769744060005,38.032131060000005,39.396735,38.0683521372,1.9396386840600002,0.5750347440600052,1.9034176068600033,1.051,50.0,1036.49,1.0
The Firebird,romantic_tragedy,54.5,62.2986547953,58.060256100000004,61.402425,59.332052186,4.238398695299999,0.8962297953000018,2.966602609300004,1.073,50.0,1036.49,1.0
The Four Temperaments,contemporary,34.5,38.6281808451,36.7537401,38.072475,36.788743661999995,1.8744407450999958,0.5557058451000003,1.839437183100003,1.051,50.0,1036.49,1.0
The Great Gatsby (2024),adult_literary_drama,66.55000000000001,76.56922654920002,70.89743199000002,75.46770000000002,72.92307290400002,5.671794559200009,1.1015265492000026,3.646153645200002,1.08,50.0,1036.49,1.0
The Lady of the Camellias,adult_literary_drama,49.55,57.00984486120001,52.78689339,56.1897,54.29509034400001,4.222951471200005,0.8201448612000064,2.7147545171999994,1.08,50.0,1036.49,1.0
The Leaves Are Fading,contemporary_mixed_bill,34.650000000000006,38.79612945747001,36.91353897000001,38.23800750000001,36.94869472140001,1.8825904874699972,0.55812195747,1.8474347360699994,1.051,50.0,1036.49,1.0
The Little Mermaid,family_classic,64.2,73.38667225428001,68.39391636,72.33093000000001,69.8920688136,4.992755894280009,1.0557422542800055,3.4946034406800095,1.073,50.0,1036.49,1.0
The Merry Widow,classic_comedy,50.15,57.539897712990005,53.42608887,56.7121275,54.799902583800005,4.113808842990004,0.8277702129900035,2.7399951291899995,1.077,50.0,1036.49,1.0
The Snow Queen,family_classic,55.599999999999994,63.55605883704,59.23211448,62.64173999999999,60.5295798448,4.3239443570399985,0.9143188370400068,3.0264789922400013,1.073,50.0,1036.49,1.0
The Stone Angel,adult_literary_drama,52.05,59.8862245212,55.45020789,59.0247,57.034499544,4.436016631199998,0.8615245211999962,2.8517249772,1.08,50.0,1036.49,1.0
The Taming of the Shrew,classic_comedy,51.35000000000001,58.916724776910016,54.70447983000001,58.06914750000001,56.11116645420001,4.212244946910005,0.847577276910009,2.805558322710006,1.077,50.0,1036.49,1.0
The Times They Are A-Changin',pop_ip,50.7,58.17094345062001,54.01201806000001,57.334095000000005,55.400898524400006,4.1589253906199986,0.8368484506200033,2.7700449262200024,1.077,50.0,1036.49,1.0
The Two Pigeons,classic_romance,37.45,42.96847795317,39.89645121,42.3503325,40.9223599554,3.0720267431699995,0.6181454531700012,2.046117997770004,1.077,50.0,1036.49,1.0
